tile,exclude,tif_download,tif_reproject,chip,filter_chips
14SQB,False,False,False,False,False
16SBC,False,False,False,False,False
15TUK,False,False,False,False,False
14TLQ,False,False,False,False,False
15SXD,False,False,False,False,False
15TXL,False,False,False,False,False
14TMK,False,False,False,False,False
18TWL,False,False,False,False,False
17SMS,False,False,False,False,False
01SBS,False,False,False,False,False
15SVS,False,False,False,False,False
10TFQ,False,False,False,False,False
14RPU,False,False,False,False,False
15SYC,False,False,False,False,False
15SVR,False,False,False,False,False
14SKD,False,False,False,False,False
14TLK,False,False,False,False,False
13SFU,False,False,False,False,False
14SKF,False,False,False,False,False
14SQA,False,False,False,False,False
17RLQ,False,False,False,False,False
17TLF,False,False,False,False,False
13SGC,False,False,False,False,False
15TXF,False,False,False,False,False
18STJ,False,False,False,False,False
15TWE,False,False,False,False,False
18TVP,False,False,False,False,False
16TCL,False,False,False,False,False
10SFF,False,False,False,False,False
15TTF,False,False,False,False,False
13TFE,False,False,False,False,False
15TVF,False,False,False,False,False
17TKE,False,False,False,False,False
14ULV,False,False,False,False,False
17SPC,False,False,False,False,False
17SQD,False,False,False,False,False
17RKQ,False,False,False,False,False
14TNK,False,False,False,False,False
17TLE,False,False,False,False,False
14RQU,False,False,False,False,False
12TYQ,False,False,False,False,False
16SEE,False,False,False,False,False
14SPJ,False,False,False,False,False
16SEG,False,False,False,False,False
13SFD,False,False,False,False,False
16SDG,False,False,False,False,False
11UPP,False,False,False,False,False
13TGH,False,False,False,False,False
11TML,False,False,False,False,False
14TQK,False,False,False,False,False
15TVG,False,False,False,False,False
15SYT,False,False,False,False,False
15SYS,False,False,False,False,False
14SLJ,False,False,False,False,False
13TGN,False,False,False,False,False
14UMV,False,False,False,False,False
13TCK,False,False,False,False,False
14SLE,False,False,False,False,False
14TNQ,False,False,False,False,False
14RPV,False,False,False,False,False
15TWJ,False,False,False,False,False
15TYE,False,False,False,False,False
13SGB,False,False,False,False,False
15TYL,False,False,False,False,False
16SBJ,False,False,False,False,False
12TVP,False,False,False,False,False
