tile_id,cloud_cover,date,spatial_cover,links,month
T14SMD,0,2021-03-03,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021062T172221.v2.0/HLS.S30.T14SMD.2021062T172221.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021062T172221.v2.0/HLS.S30.T14SMD.2021062T172221.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021062T172221.v2.0/HLS.S30.T14SMD.2021062T172221.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021062T172221.v2.0/HLS.S30.T14SMD.2021062T172221.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021062T172221.v2.0/HLS.S30.T14SMD.2021062T172221.v2.0.Fmask.tif'}",3
T14SMD,0,2021-03-10,27,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021069T171131.v2.0/HLS.S30.T14SMD.2021069T171131.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021069T171131.v2.0/HLS.S30.T14SMD.2021069T171131.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021069T171131.v2.0/HLS.S30.T14SMD.2021069T171131.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021069T171131.v2.0/HLS.S30.T14SMD.2021069T171131.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021069T171131.v2.0/HLS.S30.T14SMD.2021069T171131.v2.0.Fmask.tif'}",3
T14SMD,2,2021-03-15,27,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021074T170949.v2.0/HLS.S30.T14SMD.2021074T170949.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021074T170949.v2.0/HLS.S30.T14SMD.2021074T170949.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021074T170949.v2.0/HLS.S30.T14SMD.2021074T170949.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021074T170949.v2.0/HLS.S30.T14SMD.2021074T170949.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021074T170949.v2.0/HLS.S30.T14SMD.2021074T170949.v2.0.Fmask.tif'}",3
T14SMD,0,2021-03-20,27,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021079T171011.v2.0/HLS.S30.T14SMD.2021079T171011.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021079T171011.v2.0/HLS.S30.T14SMD.2021079T171011.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021079T171011.v2.0/HLS.S30.T14SMD.2021079T171011.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021079T171011.v2.0/HLS.S30.T14SMD.2021079T171011.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021079T171011.v2.0/HLS.S30.T14SMD.2021079T171011.v2.0.Fmask.tif'}",3
T14SMD,0,2021-03-23,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021082T171951.v2.0/HLS.S30.T14SMD.2021082T171951.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021082T171951.v2.0/HLS.S30.T14SMD.2021082T171951.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021082T171951.v2.0/HLS.S30.T14SMD.2021082T171951.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021082T171951.v2.0/HLS.S30.T14SMD.2021082T171951.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021082T171951.v2.0/HLS.S30.T14SMD.2021082T171951.v2.0.Fmask.tif'}",3
T14SMD,0,2021-03-28,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021087T171849.v2.0/HLS.S30.T14SMD.2021087T171849.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021087T171849.v2.0/HLS.S30.T14SMD.2021087T171849.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021087T171849.v2.0/HLS.S30.T14SMD.2021087T171849.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021087T171849.v2.0/HLS.S30.T14SMD.2021087T171849.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021087T171849.v2.0/HLS.S30.T14SMD.2021087T171849.v2.0.Fmask.tif'}",3
T14SMD,0,2021-04-07,99,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021097T171849.v2.0/HLS.S30.T14SMD.2021097T171849.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021097T171849.v2.0/HLS.S30.T14SMD.2021097T171849.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021097T171849.v2.0/HLS.S30.T14SMD.2021097T171849.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021097T171849.v2.0/HLS.S30.T14SMD.2021097T171849.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021097T171849.v2.0/HLS.S30.T14SMD.2021097T171849.v2.0.Fmask.tif'}",4
T14SMD,0,2021-04-19,25,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021109T170851.v2.0/HLS.S30.T14SMD.2021109T170851.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021109T170851.v2.0/HLS.S30.T14SMD.2021109T170851.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021109T170851.v2.0/HLS.S30.T14SMD.2021109T170851.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021109T170851.v2.0/HLS.S30.T14SMD.2021109T170851.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021109T170851.v2.0/HLS.S30.T14SMD.2021109T170851.v2.0.Fmask.tif'}",4
T14SMD,0,2021-05-09,26,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021129T170851.v2.0/HLS.S30.T14SMD.2021129T170851.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021129T170851.v2.0/HLS.S30.T14SMD.2021129T170851.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021129T170851.v2.0/HLS.S30.T14SMD.2021129T170851.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021129T170851.v2.0/HLS.S30.T14SMD.2021129T170851.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021129T170851.v2.0/HLS.S30.T14SMD.2021129T170851.v2.0.Fmask.tif'}",5
T14SMD,4,2021-06-11,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021162T171901.v2.0/HLS.S30.T14SMD.2021162T171901.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021162T171901.v2.0/HLS.S30.T14SMD.2021162T171901.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021162T171901.v2.0/HLS.S30.T14SMD.2021162T171901.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021162T171901.v2.0/HLS.S30.T14SMD.2021162T171901.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021162T171901.v2.0/HLS.S30.T14SMD.2021162T171901.v2.0.Fmask.tif'}",6
T14SMD,0,2021-06-16,100,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021167T171859.v2.0/HLS.S30.T14SMD.2021167T171859.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021167T171859.v2.0/HLS.S30.T14SMD.2021167T171859.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021167T171859.v2.0/HLS.S30.T14SMD.2021167T171859.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021167T171859.v2.0/HLS.S30.T14SMD.2021167T171859.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021167T171859.v2.0/HLS.S30.T14SMD.2021167T171859.v2.0.Fmask.tif'}",6
T14SMD,0,2021-06-18,26,"{'B02': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021169T170851.v2.0/HLS.S30.T14SMD.2021169T170851.v2.0.B02.tif', 'B03': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021169T170851.v2.0/HLS.S30.T14SMD.2021169T170851.v2.0.B03.tif', 'B04': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021169T170851.v2.0/HLS.S30.T14SMD.2021169T170851.v2.0.B04.tif', 'B8A': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021169T170851.v2.0/HLS.S30.T14SMD.2021169T170851.v2.0.B8A.tif', 'Fmask': 's3://lp-prod-protected/HLSS30.020/HLS.S30.T14SMD.2021169T170851.v2.0/HLS.S30.T14SMD.2021169T170851.v2.0.Fmask.tif'}",6
